Size,ID (mm),Cross Sect (mm)
M1X1.15,1.15ñ0.10,1.00ñ0.08
M1X1.5,1.50ñ0.10,1.00ñ0.08
M1X1.8,1.80ñ0.13,1.00ñ0.08
M1X2,2.00ñ0.13,1.00ñ0.08
M1X2.5,2.50ñ0.13,1.00ñ0.08
M1X3,3.00ñ0.13,1.00ñ0.08
M1X3.5,3.50ñ0.13,1.00ñ0.08
M1X4,4.00ñ0.13,1.00ñ0.08
M1X4.5,4.50ñ0.13,1.00ñ0.08
M1X5,5.00ñ0.13,1.00ñ0.08
M1X5.5,5.50ñ0.13,1.00ñ0.08
M1X6,6.00ñ0.13,1.00ñ0.08
M1X6.5,6.50ñ0.13,1.00ñ0.08
M1X7,7.00ñ0.13,1.00ñ0.08
M1X7.5,7.50ñ0.13,1.00ñ0.08
M1X8,8.00ñ0.13,1.00ñ0.08
M1X8.5,8.50ñ0.13,1.00ñ0.08
M1X9,9.00ñ0.13,1.00ñ0.08
M1X9.5,9.50ñ0.13,1.00ñ0.08
M1X10,10.00ñ0.13,1.00ñ0.08
M1X10.5,10.50ñ0.13,1.00ñ0.08
M1X11,11.00ñ0.13,1.00ñ0.08
M1X11.5,11.50ñ0.13,1.00ñ0.08
M1X12,12.00ñ0.15,1.00ñ0.08
M1X12.5,12.50ñ0.15,1.00ñ0.08
M1X13,13.00ñ0.15,1.00ñ0.08
M1X13.5,13.50ñ0.15,1.00ñ0.08
M1X14,14.00ñ0.15,1.00ñ0.08
M1X14.5,14.50ñ0.18,1.00ñ0.08
M1X15,15.00ñ0.18,1.00ñ0.08
M1X15.5,15.50ñ0.18,1.00ñ0.08
M1X16,16.00ñ0.18,1.00ñ0.08
M1X16.5,16.50ñ0.18,1.00ñ0.08
M1X17,17.00ñ0.18,1.00ñ0.08
M1X17.5,17.50ñ0.18,1.00ñ0.08
M1X18,18.00ñ0.20,1.00ñ0.08
M1X18.5,18.50ñ0.20,1.00ñ0.08
M1X19,19.00ñ0.20,1.00ñ0.08
M1X19.5,19.50ñ0.20,1.00ñ0.08
M1X20,20.00ñ0.20,1.00ñ0.08
M1X20.5,20.50ñ0.20,1.00ñ0.08
M1X21,21.00ñ0.23,1.00ñ0.08
M1X21.5,21.50ñ0.23,1.00ñ0.08
M1X22,22.00ñ0.23,1.00ñ0.08
M1X22.5,22.50ñ0.23,1.00ñ0.08
M1X23,23.00ñ0.23,1.00ñ0.08
M1X23.5,23.50ñ0.23,1.00ñ0.08
M1X24,24.00ñ0.25,1.00ñ0.08
M1X24.5,24.50ñ0.25,1.00ñ0.08
M1X25,25.00ñ0.25,1.00ñ0.08
M1.02X1.78,1.78ñ0.13,1.02ñ0.08
M1.5X1.85,1.85ñ0.13,1.50ñ0.08
M1.5X2,2.00ñ0.13,1.50ñ0.08
M1.5X2.5,2.50ñ0.13,1.50ñ0.08
M1.5X2.8,2.80ñ0.13,1.50ñ0.08
M1.5X3,3.00ñ0.13,1.50ñ0.08
M1.5X3.5,3.50ñ0.13,1.50ñ0.08
M1.5X4,4.00ñ0.13,1.50ñ0.08
M1.5X4.5,4.50ñ0.13,1.50ñ0.08
M1.5X5,5.00ñ0.13,1.50ñ0.08
M1.5X5.5,5.50ñ0.13,1.50ñ0.08
M1.5X6,6.00ñ0.13,1.50ñ0.08
M1.5X6.5,6.50ñ0.13,1.50ñ0.08
M1.5X7,7.00ñ0.13,1.50ñ0.08
M1.5X7.5,7.50ñ0.13,1.50ñ0.08
M1.5X8,8.00ñ0.13,1.50ñ0.08
M1.5X8.5,8.50ñ0.13,1.50ñ0.08
M1.5X9,9.00ñ0.13,1.50ñ0.08
M1.5X9.5,9.50ñ0.13,1.50ñ0.08
M1.5X10,10.00ñ0.13,1.50ñ0.08
M1.5X10.5,10.50ñ0.13,1.50ñ0.08
M1.5X11,11.00ñ0.13,1.50ñ0.08
M1.5X11.5,11.50ñ0.13,1.50ñ0.08
M1.5X12,12.00ñ0.15,1.50ñ0.08
M1.5X12.5,12.50ñ0.15,1.50ñ0.08
M1.5X13,13.00ñ0.15,1.50ñ0.08
M1.5X13.5,13.50ñ0.15,1.50ñ0.08
M1.5X14,14.00ñ0.15,1.50ñ0.08
M1.5X14.5,14.50ñ0.18,1.50ñ0.08
M1.5X15,15.00ñ0.18,1.50ñ0.08
M1.5X15.5,15.50ñ0.18,1.50ñ0.08
M1.5X16,16.00ñ0.18,1.50ñ0.08
M1.5X16.5,16.50ñ0.18,1.50ñ0.08
M1.5X17,17.00ñ0.18,1.50ñ0.08
M1.5X17.5,17.50ñ0.18,1.50ñ0.08
M1.5X18,18.00ñ0.20,1.50ñ0.08
M1.5X18.5,18.50ñ0.20,1.50ñ0.08
M1.5X19,19.00ñ0.20,1.50ñ0.08
M1.5X19.5,19.50ñ0.20,1.50ñ0.08
M1.5X20,20.00ñ0.20,1.50ñ0.08
M1.5X20.5,20.50ñ0.20,1.50ñ0.08
M1.5X21,21.00ñ0.23,1.50ñ0.08
M1.5X21.5,21.50ñ0.23,1.50ñ0.08
M1.5X22,22.00ñ0.23,1.50ñ0.08
M1.5X22.5,22.50ñ0.23,1.50ñ0.08
M1.5X23,23.00ñ0.23,1.50ñ0.08
M1.5X23.5,23.50ñ0.23,1.50ñ0.08
M1.5X24,24.00ñ0.25,1.50ñ0.08
M1.5X24.5,24.50ñ0.25,1.50ñ0.08
M1.5X25,25.00ñ0.25,1.50ñ0.08
M1.5X25.5,25.50ñ0.25,1.50ñ0.08
M1.5X26,26.00ñ0.25,1.50ñ0.08
M1.5X26.5,26.50ñ0.25,1.50ñ0.08
M1.5X27,27.00ñ0.25,1.50ñ0.08
M1.5X27.5,27.50ñ0.25,1.50ñ0.08
M1.5X28,28.00ñ0.25,1.50ñ0.08
M1.5X28.5,28.50ñ0.25,1.50ñ0.08
M1.5X29,29.00ñ0.30,1.50ñ0.08
M1.5X29.5,29.50ñ0.30,1.50ñ0.08
M1.5X30,30.00ñ0.30,1.50ñ0.08
M1.5X30.5,30.50ñ0.30,1.50ñ0.08
M1.5X31,31.00ñ0.30,1.50ñ0.08
M1.5X31.5,31.50ñ0.30,1.50ñ0.08
M1.5X32,32.00ñ0.30,1.50ñ0.08
M1.5X32.5,32.50ñ0.30,1.50ñ0.08
M1.5X33,33.00ñ0.30,1.50ñ0.08
M1.5X33.5,33.50ñ0.30,1.50ñ0.08
M1.5X34,34.00ñ0.30,1.50ñ0.08
M1.5X34.5,34.50ñ0.30,1.50ñ0.08
M1.5X35,35.00ñ0.30,1.50ñ0.08
M1.5X35.5,35.50ñ0.30,1.50ñ0.08
M1.5X36,36.00ñ0.36,1.50ñ0.08
M1.5X36.5,36.50ñ0.36,1.50ñ0.08
M1.5X37,37.00ñ0.36,1.50ñ0.08
M1.5X37.5,37.50ñ0.36,1.50ñ0.08
M1.5X38,38.00ñ0.36,1.50ñ0.08
M1.5X38.5,38.50ñ0.36,1.50ñ0.08
M1.5X39,39.00ñ0.36,1.50ñ0.08
M1.5X39.5,39.50ñ0.36,1.50ñ0.08
M1.5X40,40.00ñ0.36,1.50ñ0.08
M1.5X41,41.00ñ0.36,1.50ñ0.08
M1.5X42,42.00ñ0.36,1.50ñ0.08
M1.5X43,43.00ñ0.36,1.50ñ0.08
M1.5X44,44.00ñ0.41,1.50ñ0.08
M1.5X45,45.00ñ0.41,1.50ñ0.08
M1.5X46,46.00ñ0.41,1.50ñ0.08
M1.5X47,47.00ñ0.41,1.50ñ0.08
M1.5X48,48.00ñ0.41,1.50ñ0.08
M1.5X49,49.00ñ0.41,1.50ñ0.08
M1.5X50,50.00ñ0.41,1.50ñ0.08
M1.5X51,51.00ñ0.46,1.50ñ0.08
M1.5X52,52.00ñ0.46,1.50ñ0.08
M1.5X53,53.00ñ0.46,1.50ñ0.08
M1.5X54,54.00ñ0.46,1.50ñ0.08
M1.5X55,55.00ñ0.46,1.50ñ0.08
M1.5X56,56.00ñ0.46,1.50ñ0.08
M1.5X57,57.00ñ0.46,1.50ñ0.08
M1.5X58,58.00ñ0.46,1.50ñ0.08
M1.5X59,59.00ñ0.51,1.50ñ0.08
M1.5X60,60.00ñ0.51,1.50ñ0.08
M1.5X61,61.00ñ0.51,1.50ñ0.08
M1.5X62,62.00ñ0.51,1.50ñ0.08
M1.5X63,63.00ñ0.51,1.50ñ0.08
M1.5X64,64.00ñ0.51,1.50ñ0.08
M1.5X65,65.00ñ0.51,1.50ñ0.08
M1.5X66,66.00ñ0.51,1.50ñ0.08
M1.5X67,67.00ñ0.56,1.50ñ0.08
M1.5X68,68.00ñ0.56,1.50ñ0.08
M1.5X69,69.00ñ0.56,1.50ñ0.08
M1.5X70,70.00ñ0.56,1.50ñ0.08
M1.5X71,71.00ñ0.56,1.50ñ0.08
M1.5X72,72.00ñ0.56,1.50ñ0.08
M1.5X73,73.00ñ0.56,1.50ñ0.08
M1.5X74,74.00ñ0.56,1.50ñ0.08
M1.5X75,75.00ñ0.61,1.50ñ0.08
M1.5X76,76.00ñ0.61,1.50ñ0.08
M1.5X77,77.00ñ0.61,1.50ñ0.08
M1.5X78,78.00ñ0.61,1.50ñ0.08
M1.5X79,79.00ñ0.61,1.50ñ0.08
M1.5X80,80.00ñ0.61,1.50ñ0.08
M1.5X81,81.00ñ0.61,1.50ñ0.08
M1.5X82,82.00ñ0.61,1.50ñ0.08
M1.5X83,83.00ñ0.61,1.50ñ0.08
M1.5X84,84.00ñ0.66,1.50ñ0.08
M1.5X85,85.00ñ0.66,1.50ñ0.08
M1.5X86,86.00ñ0.66,1.50ñ0.08
M1.5X87,87.00ñ0.66,1.50ñ0.08
M1.5X88,88.00ñ0.66,1.50ñ0.08
M1.5X89,89.00ñ0.66,1.50ñ0.08
M1.5X90,90.00ñ0.66,1.50ñ0.08
M1.5X91,91.00ñ0.66,1.50ñ0.08
M1.5X92,92.00ñ0.66,1.50ñ0.08
M1.5X93,93.00ñ0.71,1.50ñ0.08
M1.5X94,94.00ñ0.71,1.50ñ0.08
M1.5X95,95.00ñ0.71,1.50ñ0.08
M1.5X96,96.00ñ0.71,1.50ñ0.08
M1.5X97,97.00ñ0.71,1.50ñ0.08
M1.5X98,98.00ñ0.71,1.50ñ0.08
M1.5X99,99.00ñ0.71,1.50ñ0.08
M1.5X100,100.00ñ0.71,1.50ñ0.08
M1.6X2.2,2.20ñ0.13,1.60ñ0.08
M1.6X2.75,2.75ñ0.13,1.60ñ0.08
M1.6X3.1,3.10ñ0.13,1.60ñ0.08
M1.6X4.1,4.10ñ0.13,1.60ñ0.08
M1.6X4.7,4.70ñ0.13,1.60ñ0.08
M1.6X5,5.00ñ0.13,1.60ñ0.08
M1.6X5.1,5.10ñ0.13,1.60ñ0.08
M1.6X6.1,6.10ñ0.13,1.60ñ0.08
M1.6X7.1,7.10ñ0.13,1.60ñ0.08
M1.6X8.1,8.10ñ0.13,1.60ñ0.08
M1.6X9.1,9.10ñ0.13,1.60ñ0.08
M1.6X10.1,10.10ñ0.13,1.60ñ0.08
M1.6X11.1,11.10ñ0.13,1.60ñ0.08
M1.6X12.1,12.10ñ0.15,1.60ñ0.08
M1.6X13.1,13.10ñ0.15,1.60ñ0.08
M1.6X14.1,14.10ñ0.15,1.60ñ0.08
M1.6X15.1,15.10ñ0.18,1.60ñ0.08
M1.6X16.1,16.10ñ0.18,1.60ñ0.08
M1.6X17.1,17.10ñ0.18,1.60ñ0.08
M1.6X18.1,18.10ñ0.20,1.60ñ0.08
M1.6X19.1,19.10ñ0.20,1.60ñ0.08
M1.6X22.1,22.10ñ0.23,1.60ñ0.08
M1.6X25.1,25.10ñ0.25,1.60ñ0.08
M1.6X27.1,27.10ñ0.25,1.60ñ0.08
M1.6X29.1,29.10ñ0.30,1.60ñ0.08
M1.6X32.1,32.10ñ0.30,1.60ñ0.08
M1.6X35.1,35.10ñ0.30,1.60ñ0.08
M1.6X37.1,37.10ñ0.36,1.60ñ0.08
M1.78X3.17,3.17ñ0.13,1.78ñ0.08
M1.78X4.76,4.76ñ0.13,1.78ñ0.08
M1.78X6.35,6.35ñ0.13,1.78ñ0.08
M1.78X6.75,6.75ñ0.13,1.78ñ0.08
M1.78X7.94,7.94ñ0.13,1.78ñ0.08
M1.78X8.73,8.73ñ0.13,1.78ñ0.08
M1.78X9.52,9.52ñ0.13,1.78ñ0.08
M1.78X11.11,11.11ñ0.13,1.78ñ0.08
M1.78X36.27,36.27ñ0.36,1.78ñ0.08
M1.78X39.45,39.45ñ0.36,1.78ñ0.08
M1.78X79,79.00ñ0.61,1.78ñ0.08
M1.78X85.34,85.34ñ0.66,1.78ñ0.08
M1.78X91.7,91.70ñ0.66,1.78ñ0.08
M1.78X98.05,98.05ñ0.71,1.78ñ0.08
M1.78X104.4,104.40ñ0.76,1.78ñ0.08
M1.78X110.74,110.74ñ0.76,1.78ñ0.08
M1.78X117.1,117.10ñ0.76,1.78ñ0.08
M1.78X123.44,123.44ñ0.89,1.78ñ0.08
M1.78X129.4,129.40ñ0.89,1.78ñ0.08
M1.78X135.76,135.76ñ0.89,1.78ñ0.08
M1.78X138.94,138.94ñ0.89,1.78ñ0.08
M1.8X1.8,1.80ñ0.13,1.80ñ0.08
M1.8X2,2.00ñ0.13,1.80ñ0.08
M1.8X2.24,2.24ñ0.13,1.80ñ0.08
M1.8X2.5,2.50ñ0.13,1.80ñ0.08
M1.8X2.8,2.80ñ0.13,1.80ñ0.08
M1.8X3.15,3.15ñ0.13,1.80ñ0.08
M1.8X3.55,3.55ñ0.13,1.80ñ0.08
M1.8X3.75,3.75ñ0.13,1.80ñ0.08
M1.8X4,4.00ñ0.13,1.80ñ0.08
M1.8X4.5,4.50ñ0.13,1.80ñ0.08
M1.8X4.87,4.87ñ0.13,1.80ñ0.08
M1.8X5,5.00ñ0.13,1.80ñ0.08
M1.8X5.15,5.15ñ0.13,1.80ñ0.08
M1.8X5.3,5.30ñ0.13,1.80ñ0.08
M1.8X5.6,5.60ñ0.13,1.80ñ0.08
M1.8X6,6.00ñ0.13,1.80ñ0.08
M1.8X6.3,6.30ñ0.13,1.80ñ0.08
M1.8X6.7,6.70ñ0.13,1.80ñ0.08
M1.8X6.9,6.90ñ0.13,1.80ñ0.08
M1.8X7.1,7.10ñ0.13,1.80ñ0.08
M1.8X7.5,7.50ñ0.13,1.80ñ0.08
M1.8X8,8.00ñ0.13,1.80ñ0.08
M1.8X8.5,8.50ñ0.13,1.80ñ0.08
M1.8X8.76,8.76ñ0.13,1.80ñ0.08
M1.8X9,9.00ñ0.13,1.80ñ0.08
M1.8X9.5,9.50ñ0.13,1.80ñ0.08
M1.8X10,10.00ñ0.13,1.80ñ0.08
M1.8X10.6,10.60ñ0.13,1.80ñ0.08
M1.8X11.2,11.20ñ0.13,1.80ñ0.08
M1.8X11.8,11.80ñ0.15,1.80ñ0.08
M1.8X12.5,12.50ñ0.15,1.80ñ0.08
M1.8X13.2,13.20ñ0.15,1.80ñ0.08
M1.8X14,14.00ñ0.15,1.80ñ0.08
M1.8X15,15.00ñ0.18,1.80ñ0.08
M1.8X16,16.00ñ0.18,1.80ñ0.08
M1.8X17,17.00ñ0.18,1.80ñ0.08
M1.9X2.4,2.40ñ0.13,1.90ñ0.08
M1.9X2.6,2.60ñ0.13,1.90ñ0.08
M1.9X2.8,2.80ñ0.13,1.90ñ0.08
M1.9X3.4,3.40ñ0.13,1.90ñ0.08
M1.9X3.8,3.80ñ0.13,1.90ñ0.08
M1.9X4.2,4.20ñ0.13,1.90ñ0.08
M1.9X4.8,4.80ñ0.13,1.90ñ0.08
M1.9X4.9,4.90ñ0.13,1.90ñ0.08
M1.9X5.7,5.70ñ0.13,1.90ñ0.08
M1.9X5.8,5.80ñ0.13,1.90ñ0.08
M1.9X6.4,6.40ñ0.13,1.90ñ0.08
M1.9X6.8,6.80ñ0.13,1.90ñ0.08
M1.9X7.2,7.20ñ0.13,1.90ñ0.08
M1.9X7.8,7.80ñ0.13,1.90ñ0.08
M1.9X8,8.00ñ0.13,1.90ñ0.08
M1.9X8.8,8.80ñ0.13,1.90ñ0.08
M1.9X8.9,8.90ñ0.13,1.90ñ0.08
M1.9X9.8,9.80ñ0.13,1.90ñ0.08
M2X2.5,2.50ñ0.13,2.00ñ0.08
M2X3,3.00ñ0.13,2.00ñ0.08
M2X3.5,3.50ñ0.13,2.00ñ0.08
M2X4,4.00ñ0.13,2.00ñ0.08
M2X4.5,4.50ñ0.13,2.00ñ0.08
M2X5,5.00ñ0.13,2.00ñ0.08
M2X5.5,5.50ñ0.13,2.00ñ0.08
M2X6,6.00ñ0.13,2.00ñ0.08
M2X6.5,6.50ñ0.13,2.00ñ0.08
M2X7,7.00ñ0.13,2.00ñ0.08
M2X7.5,7.50ñ0.13,2.00ñ0.08
M2X8,8.00ñ0.13,2.00ñ0.08
M2X8.5,8.50ñ0.13,2.00ñ0.08
M2X9,9.00ñ0.13,2.00ñ0.08
M2X9.5,9.50ñ0.13,2.00ñ0.08
M2X10,10.00ñ0.13,2.00ñ0.08
M2X10.5,10.50ñ0.13,2.00ñ0.08
M2X11,11.00ñ0.13,2.00ñ0.08
M2X11.5,11.50ñ0.13,2.00ñ0.08
M2X12,12.00ñ0.15,2.00ñ0.08
M2X12.5,12.50ñ0.15,2.00ñ0.08
M2X13,13.00ñ0.15,2.00ñ0.08
M2X13.5,13.50ñ0.15,2.00ñ0.08
M2X14,14.00ñ0.15,2.00ñ0.08
M2X14.5,14.50ñ0.18,2.00ñ0.08
M2X15,15.00ñ0.18,2.00ñ0.08
M2X15.5,15.50ñ0.18,2.00ñ0.08
M2X16,16.00ñ0.18,2.00ñ0.08
M2X16.5,16.50ñ0.18,2.00ñ0.08
M2X17,17.00ñ0.18,2.00ñ0.08
M2X17.5,17.50ñ0.18,2.00ñ0.08
M2X18,18.00ñ0.20,2.00ñ0.08
M2X18.5,18.50ñ0.20,2.00ñ0.08
M2X19,19.00ñ0.20,2.00ñ0.08
M2X19.5,19.50ñ0.20,2.00ñ0.08
M2X20,20.00ñ0.20,2.00ñ0.08
M2X20.5,20.50ñ0.20,2.00ñ0.08
M2X21,21.00ñ0.23,2.00ñ0.08
M2X21.5,21.50ñ0.23,2.00ñ0.08
M2X22,22.00ñ0.23,2.00ñ0.08
M2X22.5,22.50ñ0.23,2.00ñ0.08
M2X23,23.00ñ0.23,2.00ñ0.08
M2X23.5,23.50ñ0.23,2.00ñ0.08
M2X24,24.00ñ0.25,2.00ñ0.08
M2X24.5,24.50ñ0.25,2.00ñ0.08
M2X25,25.00ñ0.25,2.00ñ0.08
M2X25.5,25.50ñ0.25,2.00ñ0.08
M2X26,26.00ñ0.25,2.00ñ0.08
M2X26.5,26.50ñ0.25,2.00ñ0.08
M2X27,27.00ñ0.25,2.00ñ0.08
M2X27.5,27.50ñ0.25,2.00ñ0.08
M2X28,28.00ñ0.25,2.00ñ0.08
M2X28.5,28.50ñ0.25,2.00ñ0.08
M2X29,29.00ñ0.30,2.00ñ0.08
M2X29.5,29.50ñ0.30,2.00ñ0.08
M2X30,30.00ñ0.30,2.00ñ0.08
M2X30.5,30.50ñ0.30,2.00ñ0.08
M2X31,31.00ñ0.30,2.00ñ0.08
M2X31.5,31.50ñ0.30,2.00ñ0.08
M2X32,32.00ñ0.30,2.00ñ0.08
M2X32.5,32.50ñ0.30,2.00ñ0.08
M2X33,33.00ñ0.30,2.00ñ0.08
M2X33.5,33.50ñ0.30,2.00ñ0.08
M2X34,34.00ñ0.30,2.00ñ0.08
M2X34.5,34.50ñ0.30,2.00ñ0.08
M2X35,35.00ñ0.30,2.00ñ0.08
M2X35.5,35.50ñ0.30,2.00ñ0.08
M2X36,36.00ñ0.36,2.00ñ0.08
M2X36.5,36.50ñ0.36,2.00ñ0.08
M2X37,37.00ñ0.36,2.00ñ0.08
M2X37.5,37.50ñ0.36,2.00ñ0.08
M2X38,38.00ñ0.36,2.00ñ0.08
M2X38.5,38.50ñ0.36,2.00ñ0.08
M2X39,39.00ñ0.36,2.00ñ0.08
M2X39.5,39.50ñ0.36,2.00ñ0.08
M2X40,40.00ñ0.36,2.00ñ0.08
M2X41,41.00ñ0.36,2.00ñ0.08
M2X42,42.00ñ0.36,2.00ñ0.08
M2X43,43.00ñ0.36,2.00ñ0.08
M2X44,44.00ñ0.41,2.00ñ0.08
M2X45,45.00ñ0.41,2.00ñ0.08
M2X46,46.00ñ0.41,2.00ñ0.08
M2X47,47.00ñ0.41,2.00ñ0.08
M2X48,48.00ñ0.41,2.00ñ0.08
M2X49,49.00ñ0.41,2.00ñ0.08
M2X50,50.00ñ0.41,2.00ñ0.08
M2X51,51.00ñ0.46,2.00ñ0.08
M2X52,52.00ñ0.46,2.00ñ0.08
M2X53,53.00ñ0.46,2.00ñ0.08
M2X54,54.00ñ0.46,2.00ñ0.08
M2X55,55.00ñ0.46,2.00ñ0.08
M2X56,56.00ñ0.46,2.00ñ0.08
M2X57,57.00ñ0.46,2.00ñ0.08
M2X58,58.00ñ0.46,2.00ñ0.08
M2X59,59.00ñ0.51,2.00ñ0.08
M2X60,60.00ñ0.51,2.00ñ0.08
M2X61,61.00ñ0.51,2.00ñ0.08
M2X62,62.00ñ0.51,2.00ñ0.08
M2X63,63.00ñ0.51,2.00ñ0.08
M2X64,64.00ñ0.51,2.00ñ0.08
M2X65,65.00ñ0.51,2.00ñ0.08
M2X66,66.00ñ0.51,2.00ñ0.08
M2X67,67.00ñ0.56,2.00ñ0.08
M2X68,68.00ñ0.56,2.00ñ0.08
M2X69,69.00ñ0.56,2.00ñ0.08
M2X70,70.00ñ0.56,2.00ñ0.08
M2X71,71.00ñ0.56,2.00ñ0.08
M2X72,72.00ñ0.56,2.00ñ0.08
M2X73,73.00ñ0.56,2.00ñ0.08
M2X74,74.00ñ0.56,2.00ñ0.08
M2X75,75.00ñ0.61,2.00ñ0.08
M2X76,76.00ñ0.61,2.00ñ0.08
M2X77,77.00ñ0.61,2.00ñ0.08
M2X78,78.00ñ0.61,2.00ñ0.08
M2X79,79.00ñ0.61,2.00ñ0.08
M2X80,80.00ñ0.61,2.00ñ0.08
M2X81,81.00ñ0.61,2.00ñ0.08
M2X82,82.00ñ0.61,2.00ñ0.08
M2X83,83.00ñ0.61,2.00ñ0.08
M2X84,84.00ñ0.66,2.00ñ0.08
M2X85,85.00ñ0.66,2.00ñ0.08
M2X86,86.00ñ0.66,2.00ñ0.08
M2X87,87.00ñ0.66,2.00ñ0.08
M2X88,88.00ñ0.66,2.00ñ0.08
M2X89,89.00ñ0.66,2.00ñ0.08
M2X90,90.00ñ0.66,2.00ñ0.08
M2X91,91.00ñ0.66,2.00ñ0.08
M2X92,92.00ñ0.66,2.00ñ0.08
M2X93,93.00ñ0.71,2.00ñ0.08
M2X94,94.00ñ0.71,2.00ñ0.08
M2X95,95.00ñ0.71,2.00ñ0.08
M2X96,96.00ñ0.71,2.00ñ0.08
M2X97,97.00ñ0.71,2.00ñ0.08
M2X98,98.00ñ0.71,2.00ñ0.08
M2X99,99.00ñ0.71,2.00ñ0.08
M2X100,100.00ñ0.71,2.00ñ0.08
M2.2X6,6.00ñ0.13,2.20ñ0.08
M2.4X3.3,3.30ñ0.13,2.40ñ0.08
M2.4X3.6,3.60ñ0.13,2.40ñ0.08
M2.4X4.3,4.30ñ0.13,2.40ñ0.08
M2.4X4.6,4.60ñ0.13,2.40ñ0.08
M2.4X5.3,5.30ñ0.13,2.40ñ0.08
M2.4X5.5,5.50ñ0.13,2.40ñ0.08
M2.4X5.6,5.60ñ0.13,2.40ñ0.08
M2.4X6.3,6.30ñ0.13,2.40ñ0.08
M2.4X6.6,6.60ñ0.13,2.40ñ0.08
M2.4X7.3,7.30ñ0.13,2.40ñ0.08
M2.4X7.5,7.50ñ0.13,2.40ñ0.08
M2.4X7.6,7.60ñ0.13,2.40ñ0.08
M2.4X8.3,8.30ñ0.13,2.40ñ0.08
M2.4X8.6,8.60ñ0.13,2.40ñ0.08
M2.4X9.3,9.30ñ0.13,2.40ñ0.08
M2.4X9.6,9.60ñ0.13,2.40ñ0.08
M2.4X9.8,9.80ñ0.13,2.40ñ0.08
M2.4X10.3,10.30ñ0.13,2.40ñ0.08
M2.4X10.5,10.50ñ0.13,2.40ñ0.08
M2.4X10.6,10.60ñ0.13,2.40ñ0.08
M2.4X10.8,10.80ñ0.13,2.40ñ0.08
M2.4X11,11.00ñ0.13,2.40ñ0.08
M2.4X11.3,11.30ñ0.13,2.40ñ0.08
M2.4X11.5,11.50ñ0.13,2.40ñ0.08
M2.4X11.6,11.60ñ0.13,2.40ñ0.08
M2.4X11.8,11.80ñ0.15,2.40ñ0.08
M2.4X12.3,12.30ñ0.15,2.40ñ0.08
M2.4X12.6,12.60ñ0.15,2.40ñ0.08
M2.4X13.3,13.30ñ0.15,2.40ñ0.08
M2.4X13.5,13.50ñ0.15,2.40ñ0.08
M2.4X13.6,13.60ñ0.15,2.40ñ0.08
M2.4X13.8,13.80ñ0.15,2.40ñ0.08
M2.4X14.3,14.30ñ0.15,2.40ñ0.08
M2.4X14.5,14.50ñ0.18,2.40ñ0.08
M2.4X14.6,14.60ñ0.18,2.40ñ0.08
M2.4X14.8,14.80ñ0.18,2.40ñ0.08
M2.4X15.3,15.30ñ0.18,2.40ñ0.08
M2.4X15.5,15.50ñ0.18,2.40ñ0.08
M2.4X15.6,15.60ñ0.18,2.40ñ0.08
M2.4X15.8,15.80ñ0.18,2.40ñ0.08
M2.4X16.3,16.30ñ0.18,2.40ñ0.08
M2.4X16.6,16.60ñ0.18,2.40ñ0.08
M2.4X17.3,17.30ñ0.18,2.40ñ0.08
M2.4X17.5,17.50ñ0.18,2.40ñ0.08
M2.4X17.6,17.60ñ0.20,2.40ñ0.08
M2.4X17.8,17.80ñ0.20,2.40ñ0.08
M2.4X18.6,18.60ñ0.20,2.40ñ0.08
M2.4X19.6,19.60ñ0.20,2.40ñ0.08
M2.4X19.8,19.80ñ0.20,2.40ñ0.08
M2.4X20.5,20.50ñ0.20,2.40ñ0.08
